index,CUSIP,Ticker,SecurityName,Shares2023_06_30,Shares2023_09_30,DeltaAbsolute,DeltaRelative
5543,54211N101,LNSTY,LONDON STOCK EXCHG-UNSP ADR,705933,6563559,5857626,829.7708139440996
1028,09063M205,BNOX,BIONOMICS LTD-ADR,784251,7227354,6443103,821.561336867916
8527,904678406,UNCRY,UNICREDIT SPA-ADR,1488114,12444957,10956843,736.2905664485381
7770,82889N723,AGGH,SIMPLIFY AGGREGATE BOND ETF,1163160,9677196,8514036,731.9746208604148
8138,877619106,TSHA,TAYSHA GENE THERAPIES INC,39380769,308730879,269350110,683.9635609959774
4296,45783Y673,SFLR,INNOVATOR EQTY MGD FLOOR ETF,650361,4875024,4224663,649.5873830072836
1507,142922103,CTCX,CARMELL CORP,900000,6490917,5590917,621.213
2505,28474P201,ELBM,ELECTRA BATTERY MATERIALS CO,1352550,9157518,7804968,577.0557835200177
4009,433921103,HIVE,HIVE DIGITAL TECHNOLOGIES LT,3304209,22044501,18740292,567.1642441504155
7639,811916105,SEA,SEABRIDGE GOLD INC,71464023,471011319,399547296,559.088726365153
4425,46137V332,RSPH,INVESCO S&P 500 EQUAL WEIGHT,3614463,22311918,18697455,517.2955152674132
2054,23636T100,DANOY,DANONE-SPONS ADR,1313121,7494948,6181827,470.7735996911175
6546,69374H519,PSMR,PACER SWAN SOS MODERATE APR,549711,3123444,2573733,468.1974710347801
6550,69374H550,PSMD,PACER SWAN SOS MODERATE JANU,567510,3220590,2653080,467.494845905799
5224,49177J102,KVUE,KENVUE INC,649365132,3495684147,2846319015,438.323352261544
